2437 A, A
8968 AALSETH, CE
11973 AALST, MKV
5438 AALTO, S
2570 AAMINNEBORG, S
3810 AARSETH, SJ
16048 A, B
2832 A, BA
3315 ABADA, A
14000 ABAD, C
3520 ABADI, MG
12101 ABAZAJIAN, K
883 ABBAS, A
5197 ABBAS, S
12422 ABBASSI, AH
16592 ABBETT, WP
6835 ABDALLA, E
14473 ABDELSALAM, H
7172 ABDELSALAM, HM
9693 ABDURASHITOV, JN
13338 ABE, F
13792 ABE, K
16675 ABE, L
1648 ABEL, SA
3337 ABEL, T
11124 ABERGEL, A
9622 ABIA, C
5826 ABLES, E
15502 ABLES, JG
995 ABNEY, M
3736 ABRAHAM, R
1152 ABRAHAM, RG
5833 ABRAMO, LR
4760 ABRAMO, LRW
349 ABRAMOWICZ, MA
4970 ABRAMS, D
9552 ABRAMS, M
15197 ABRASSART, A
5726 ABRIOLA, D
15021 ABUZAYYAD, T
7576 ACCARDI, L
3671 ACCEPTED, RSSFSP
15875 ACCOMANDO, E
15995 ACCOMAZZI, A
5608 ACERBI, C
11746 ACEVEDO, MT
11270 ACEVES, H
6601 ACHARYA, BS
12113 ACHTERBERG, A
10101 ACHTERMANN, JM
13236 ACHUCARRO, A
1339 ACKER, A
13813 ACOSTAPULIDO, J
14391 ACREMAN, DM
11127 ADAM, G
7496 ADAMI, C
14001 ADAMS, B
94 ADAMS, F
1914 ADAMS, FC
4217 ADAMS, J
4568 ADAMS, JA
13902 ADAMS, MT
10458 ADDA, M
10050 ADELBERGER, E
3112 ADELBERGER, K
3720 ADELBERGER, KL
10092 ADELMAN, SJ
12827 ADE, P
5757 ADE, PAR
9360 A, DF
14660 ADLER, RJ
10521 ADLER, S
3021 ADLER, SL
9212 AELLIG, MR
2159 AERTS, C
10752 A, F
16281 AFANASEV, VL
12143 AFANASIEV, VL
5260 AFONSO, C
13267 AFONSO, J
9574 AFSHORDI, N
11231 AGAFONOVA, II
7253 AGAPITOU, V
13564 AGARWAL, NK
3647 A, GB
13864 AGEORGES, N
3640 AGHANIM, N
13321 AGHANIM, OFN
14182 A, GJ
10735 AGNESE, AG
5343 AGOL, E
5696 AGRAWAL, PC
8833 AGUER, P
9121 AGUIAR, OD
8919 AGUIAR, P
7071 AGUILAR, LA
4877 AGUIRRE, A
1165 AGUIRRE, AN
10837 AHARONIAN, F
4901 AHARONIAN, FA
12757 AHARONIAN, PSCFA
8639 AHEARN, AM
14752 A, HJ
3524 AHLUWALIA, DV
15009 AHN, E
8875 AHN, S
2476 AHONEN, J
11750 AHUMADA, AV
2423 A, I
4078 AIELLO, A
6848 AIKAWA, Y
6658 AISO, S
16358 AITKEN, D
16475 AITKEN, DK
14743 AIUDI, R
733 AJ, DMTAFPI
3649 AJHAR, E
3124 AJHAR, EA
3936 A, K
5230 AKAN, C
10175 AKAN, MC
8766 AKERIB, D
5733 AKERLOF, C
3160 AKERLOF, CW
15783 AKERLOF, RCC
9671 AKESON, RL
3536 AKHMEDOV, EK
10838 AKHPERJANIAN, AG
6073 AKIMOV, DY
8963 AKIYAMA, M
9940 AKMAL, A
12144 A, KO
1865 AKRITAS, MG
15096 AKYLAS, A
11633 AKYLAS, T
11675 A, L
10730 A, LA
2564 AL, ABE
14870 ALAKOZ, AV
9903 AL, ALME
6254 ALAM, J
15126 ALAM, SMK
1552 ALARD, C
14032 AL, AUE
15902 ALBADA, GDV
2532 ALBADA, TSV
12903 AL, BCVABE
7539 ALBERDI, A
