From,To,Label,Type,Tags,Description,Coaching Year Retired,Coaching Year Started,Current Position,First,Last,Playing Year Retired,Playing Year Started College,Wikipedia info,closeness,metrics::last,year retired
Al Davis,Tom Flores,,,,,,,,,,,,,,,
Andy Reid,Leslie Frazier,,,,,,,,,,,,,,,
Sid Gillman,Don Coryell,,,,,,,,,,,,,,,
Greg Schiano,Dave Wannstedt,,,,,,,,,,,,,,,
Dick Vermeil,Chuck Knox,,,,,,,,,,,,,,,
Bill McCartney,Gary Barnett,,,,,,,,,,,,,,,
Jack Del Rio,Mike Smith,,,,,,,,,,,,,,,
Mack Brown,Tom Herman,,,,,,,,,,,,,,,
John Heisman,"William ""Bill"" Alexander",,,,,,,,,,,,,,,
Sean Payton,Curtis Johnson,,,,,,,,,,,,,,,
John Madden,Don Coryell,,,,,,,,,,,,,,,
John Mackovic,Bill Hildebrand,,,,,,,,,,,,,,,
Tony Dungy,Lovie Smith,,,,,,,,,,,,,,,
Frank W. Thomas,"William ""Bill"" Spaulding",,,,,,,,,,,,,,,
Pete Carroll,Lou Holtz,,,,,,,,,,,,,,,
Ara Parseghian,Bill Mallory,,,,,,,,,,,,,,,
Nick Saban,Earle Bruce,,,,,,,,,,,,,,,
Adam Gase,Vance Joseph,,,,,,,,,,,,,,,
Rick Minter,Joker Phillips,,,,,,,,,,,,,,,
Bill Cowher,Ken Whisenhunt,,,,,,,,,,,,,,,
Dan McGugin,Fielding Yost,,,,,,,,,,,,,,,
Forrest Gregg,Tom Coughlin,,,,,,,,,,,,,,,
Jon Gruden,Rod Marinelli,,,,,,,,,,,,,,,
Nick Saban,Josh Gattis,,,,,,,,,,,,,,,
Al Davis,John Madden,,,,,,,,,,,,,,,
John Harbaugh,Thomas Hammock,,,,,,,,,,,,,,,
Dave McClain,Doug Graber,,,,,,,,,,,,,,,
Marty Schottenheimer,Tony Sparano,,,,,,,,,,,,,,,
John Harbaugh,Andy Reid,,,,,,,,,,,,,,,
Blanton Collier,Bear Bryant,,,,,,,,,,,,,,,
Marvin Lewis,Vance Joseph,,,,,,,,,,,,,,,
Steve Mariucci,Adam Gase,,,,,,,,,,,,,,,
Scott Linehan,Mike Tice,,,,,,,,,,,,,,,
Scott Linehan,Jim Lambright,,,,,,,,,,,,,,,
Red Blaik,Sid Gillman,,,,,,,,,,,,,,,
George Allen,Ted Marchibroda,,,,,,,,,,,,,,,
Jim Harbaugh,Derek Mason,,,,,,,,,,,,,,,
Steve Spurrier,Dick Nolan,,,,,,,,,,,,,,,
Stan Parrish,Dana Dimel,,,,,,,,,,,,,,,
John Fox,Chuck Noll,,,,,,,,,,,,,,,
Tom Landry,Dick Nolan,,,,,,,,,,,,,,,
Lucius N. Littauer,Frank A. Mason,,,,,,,,,,,,,,,
Dave McClain,Jim Hillis,,,,,,,,,,,,,,,
Paul Brown,Chuck Noll,,,,,,,,,,,,,,,
Dick Vermeil,Tommy Prothro,,,,,,,,,,,,,,,
Pete Carroll,Ed Orgeron,,,,,,,,,,,,,,,
Woody Hayes,Dave McClain,,,,,,,,,,,,,,,
Barry Switzer,Mike Shanahan,,,,,,,,,,,,,,,
Bill Pace,Frank Broyles,,,,,,,,,,,,,,,
Barry Switzer,Jim Mackenzie,,,,,,,,,,,,,,,
Jon Gruden,Stan Parrish,,,,,,,,,,,,,,,
Jon Gruden,Sean McVay,,,,,,,,,,,,,,,
Dick Vermeil,George Allen,,,,,,,,,,,,,,,
Bear Bryant,Joey Jones,,,,,,,,,,,,,,,
Nick Saban,Frank Maloney,,,,,,,,,,,,,,,
Woody Hayes,George Chaump,,,,,,,,,,,,,,,
Rick Forzano,Paul Brown,,,,,,,,,,,,,,,
Dennis Green,Rod Marinelli,,,,,,,,,,,,,,,
Bruce Arians,Jackie Sherrill,,,,,,,,,,,,,,,
Jon Gruden,George Seifert,,,,,,,,,,,,,,,
Jim Harbaugh,Willie Taggart,,,,,,,,,,,,,,,
Scott O'Brien,Bill Belichick,,,,,,,,,,,,,,,
Tony Dungy,Jim Caldwell,,,,,,,,,,,,,,,
"F. William ""John"" Rane",Fielding Yost,,,,,,,,,,,,,,,
Dennis Green,Mike Tomlin,,,,,,,,,,,,,,,
Paul Schudel,Mike DeBord,,,,,,,,,,,,,,,
Don Coryell,Al Saunders,,,,,,,,,,,,,,,
Tommy Hudspeth,Bill Belichick,,,,,,,,,,,,,,,
Gary Moeller,Brad Childress,,,,,,,,,,,,,,,
Sid Gillman,Al Davis,,,,,,,,,,,,,,,
Ray Perkins,Bill Parcells,,,,,,,,,,,,,,,
Vince Lombardi,Forrest Gregg,,,,,,,,,,,,,,,
Bruce Arians,Marty Schottenheimer,,,,,,,,,,,,,,,
Bob Stoops,Kevin Wilson,,,,,,,,,,,,,,,
Dave McClain,Glen Mason,,,,,,,,,,,,,,,
Mike Vrabel,John Cooper,,,,,,,,,,,,,,,
Ara Parseghian,Bo Schembechler,,Head coach-assistant coach,,,,,,,,,,,,,
Bear Bryant,Sylvester Croom,,,,,,,,,,,,,,,
Bill McCartney,Ron Vanderlinden,,,,,,,,,,,,,,,
John Mackovic,Frank Gansz,,,,,,,,,,,,,,,
Pete Carroll,Bo Pelini,,,,,,,,,,,,,,,
Sid Gillman,Ara Parseghian,,,,,,,,,,,,,,,
Bo Schembechler,Les Miles,,Head coach-assistant coach,,,,,,,,,,,,,
Barry Switzer,Charlie Sadler,,,,,,,,,,,,,,,
John Harbaugh,Rick Minter,,,,,,,,,,,,,,,
Don James,"Charles ""Chuck"" Mather",,,,,,,,,,,,,,,
Mike Holmgren,Jim Zorn,,,,,,,,,,,,,,,
Kyle Shanahan,Mike Pettine,,,,,,,,,,,,,,,
Doug Marrone,Scott Shafer,,,,,,,,,,,,,,,
Hayden Fry,Dan McCarney,,,,,,,,,,,,,,,
Mike Leach,Lincoln Riley,,,,,,,,,,,,,,,
Pete Carroll,Steve Sarkinsian,,,,,,,,,,,,,,,
Andy Reid,Brad Childress,,,,,,,,,,,,,,,
Bill Callahan,Turner Gill,,,,,,,,,,,,,,,
Chris Petersen,Bryan Harsin,,,,,,,,,,,,,,,
Nick Saban,Major Applewhite,,,,,,,,,,,,,,,
Manny Diaz,Mark Richt,,,,,,,,,,,,,,,
John Pont,Carm Cozza,,,,,,,,,,,,,,,
Manny Diaz,Chuck Amato,,,,,,,,,,,,,,,
Tom Herman,David Bailiff,,,,,,,,,,,,,,,
Carm Cozza,Dick Jauron,,,,,,,,,,,,,,,
Mike Leach,Kliff Kingsbury,,,,,,,,,,,,,,,
Pat Shurmur,Steve Spagnuolo,,,,,,,,,,,,,,,
Pete Carroll,Jerry Burns,,,,,,,,,,,,,,,
Don James,Eddie Crowder,,,,,,,,,,,,,,,
Scott Shafer,Bill Mallory,,,,,,,,,,,,,,,
Dirk Koetter,Lovie Smith,,,,,,,,,,,,,,,
Bill Belichick,Steve Belichick Jr.,,Family,,,,,,,,,,,,,
Bo Schembechler,Frank Maloney,,,,,,,,,,,,,,,
Tom Herman,Paul Rhoads,,,,,,,,,,,,,,,
Bill Mallory,Kurt Mallory,,,,,,,,,,,,,,,
Carm Cozza,Don Brown,,,,,,,,,,,,,,,
George Allen,George Halas,,,,,,,,,,,,,,,
Doug Marrone,Mike Pettine,,,,,,,,,,,,,,,
Manny Diaz,Mack Brown,,,,,,,,,,,,,,,
Sean McVay,John McVay,,Family,,,,,,,,,,,,,
Lloyd Carr,Brady Hoke,,,,,,,,,,,,,,,
Hayden Fry,Bill Snyder,,,,,,,,,,,,,,,
Urban Meyer,Ryan Day,,,,,,,,,,,,,,,
Don Shula,Bill Arnsparger,,,,,,,,,,,,,,,
Barry Switzer,Larry Lacewell,,,,,,,,,,,,,,,
Dirk Koetter,Mike Smith,,,,,,,,,,,,,,,
Bo Schembechler,Chuck Stobart,,,,,,,,,,,,,,,
Mike Gundy,Tim Beckman,,,,,,,,,,,,,,,
Gary Moeller,Lloyd Carr,,,,,,,,,,,,,,,
Paul Brown,Don Shula,,,,,,,,,,,,,,,
Andy Reid,Mike Holmgren,,,,,,,,,,,,,,,
Chuck Stobart,Vic Koening,,,,,,,,,,,,,,,
Don James,Bill Peterson,,,,,,,,,,,,,,,
Mike Shanahan,Kyle Shanahan,,Family,,,,,,,,,,,,,
Bear Bryant,Jackie Sherrill,,,,,,,,,,,,,,,
Rick Minter,Jimbo Fisher,,,,,,,,,,,,,,,
Dan Reeves,Tom Landry,,,,,,,,,,,,,,,
Rex Ryan,Marvin Lewis,,,,,,,,,,,,,,,
Mike Nolan,Adam Gase,,,,,,,,,,,,,,,
Jim L Mora,Steve Mariucci,,,,,,,,,,,,,,,
John Harbaugh,Hue Jackson,,,,,,,,,,,,,,,
Bear Bryant,Charles McClendon,,,,,,,,,,,,,,,
Jim Young,Leon Burtnett,,,,,,,,,,,,,,,
John Mazur,Paul Hackett,,,,,,,,,,,,,,,
Mike Vrabel,Urban Meyer,,,,,,,,,,,,,,,
Steve Spurrier,Bob Stoops,,,,,,,,,,,,,,,
Mike Mularkey,Mike Smith,,,,,,,,,,,,,,,
Tom Coughlin,Bill Parcells,,,,,,,,,,,,,,,
Leon Burtnett,Jim Colletto,,,,,,,,,,,,,,,
Mike Leach,Dana Holgorsen,,,,,,,,,,,,,,,
Woody Hayes,Clive Rush,,,,,,,,,,,,,,,
Frank W. Thomas,"George ""Kid"" Woodruff",,,,,,,,,,,,,,,
Mark Dantonio,Jim Young,,,,,,,,,,,,,,,
Frank Reich,Tony Dungy,,,,,,,,,,,,,,,
Mike Holmgren,Dick Jauron,,,,,,,,,,,,,,,
Marvin Lewis,Jack Del Rio,,,,,,,,,,,,,,,
Knute Rockne,Peggy Parratt,,,,,,,,,,,,,,,
Bo Schembechler,Doyt Perry,,,,,,,,,,,,,,,
Bo Schembechler,Ron Vanderlinden,,,,,,,,,,,,,,,
Sam Sanders,Jim Ward,,,,,,,,,,,,,,,
Todd Bowles,Bill Parcells,,,,,,,,,,,,,,,
Andy Reid,Sean McDermott,,,,,,,,,,,,,,,
Dick Tomey,Ron McBride,,,,,,,,,,,,,,,
Don James,Nick Saban,,,,,,,,,,,,,,,
Manny Diaz,Bobby Bowden,,,,,,,,,,,,,,,
Les Miles,Bo Pelini,,,,,,,,,,,,,,,
Frank W. Thomas,Bear Bryant,,,,,,,,,,,,,,,
Steve Spurrier,Charlie Strong,,,,,,,,,,,,,,,
Sean Payton,John Bonamego,,,,,,,,,,,,,,,
Bo Schembechler,Woody Hayes,,Head coach-assistant coach,,,,,,,,,,,,,
Mack Brown,Larry Jones,,,,,,,,,,,,,,,
Buddy Ryan,Jim Schwartz,,,,,,,,,,,,,,,
Anthony Lynn,Rex Ryan,,,,,,,,,,,,,,,
Woody Hayes,John McVay,,,,,,,,,,,,,,,
Chris Petersen,Jonathan Smith,,,,,,,,,,,,,,,
Tony Dungy,Mike Tomlin,,,,,,,,,,,,,,,
Monte Kiffin,Bud Grant,,,,,,,,,,,,,,,
Bill Parcells,Romeo Crennel,,,,,,,,,,,,,,,
Larry Smith,Moe Ankney,,,,,,,,,,,,,,,
Bo Schembechler,Bill McCartney,,Head coach-assistant coach,,,,,,,,,,,,,
Jeff Fisher,Dave McGinnis,,,,,,,,,,,,,,,
Doug Graber,Butch Jones,,,,,,,,,,,,,,,
Buddy Ryan,Rex Ryan,,,,,,,,,,,,,,,
Joe Moorhead,Josh Gattis,,,,,,,,,,,,,,,
Marvin Lewis,Brian Billick,,,,,,,,,,,,,,,
George Seifert,Mike Holmgren,,,,,,,,,,,,,,,
Monte Kiffin,Mike Tomlin,,,,,,,,,,,,,,,
John Pont,Dick Tomey,,,,,,,,,,,,,,,
Bill Callahan,Marc Trestman,,,,,,,,,,,,,,,
