Label,Type,Tags,Description,Coaching Year Retired,Coaching Year Started,Current Position,First,Last,Playing Year Retired,Playing Year Started College,Wikipedia info,closeness,metrics::last,year retired
Rick Minter,,,,,,,,,,,,0.22597438492960928,0.22597438492960928,
Ernie Zampese,,,,,,,,,,,,0.23194749556689917,0.23194749556689917,
Frank Cignetti,Coach,,,,1989,,,,,,,0.2533641317223412,0.2533641317223412,
Mike Sewak,,,,,,,,,,,,,,
Mark Stoops,Coach,,,,,,,,,,,0.20685667980444178,0.20685667980444178,
John Robinson,Coach,,,2010,1960,,,,,,,0.28031281184266293,0.28031281184266293,
Chris Ash,Coach,,,,,,,,,,,0.20654860617547252,0.20654860617547252,
Don McCafferty,Coach,,,1973,1948,,,,,,,0.22029633578141125,0.22029633578141125,
Mel Tucker,Coach,,,,,,,,,,,0.22920615178077922,0.22920615178077922,
Parke H. Davis,Coach,,,,,,,,,,,0.16051111685440095,0.16051111685440095,
Bruce Coslet,Coach,,,2002,1980,,,,,,,0.24199340598594382,0.24199340598594382,
Mike Shanahan,Coach,,,2013,1975,,,,,,,0.25035635315486093,0.25035635315486093,
Dick Tomey,,,,,,,,,,,,,,
John Pont,Coach,,,,,,,,,,,0.22897615099107704,0.22897615099107704,
Tom Rodgers,Coach,,,,,,,,,,,0.22897615099107704,0.22897615099107704,
Tony Levine,,,,,,,,,,,,,,
Kyle Flood,Coach,,,,,,,,,,,0.20433743978520155,0.20433743978520155,
Red Sanders,,,,,,,,,,,,0.174351484612679,0.174351484612679,
Dennis Fitzgerald,Coach,,,,,,,,,,,0.2533641317223412,0.2533641317223412,
"Henry L. ""Doc"" Williams",Coach,,,1921,1891,,,,,,,0.14029518712354588,0.14029518712354588,
Gary Andersen,,,,,,,,,,,,,,
Sean Payton,Coach,,,,1988,,,,,,,0.27639283740030024,0.27639283740030024,
Nick Mourouzis,,,,,,,,,,,,,,
Nick Holt,Coach,,,,,,,,,,,0.2330618731738141,0.2330618731738141,
Sean McDermott,Coach,,,,,,,,,,,0.2213615364734773,0.2213615364734773,
Tom Reed,Coach,,,,,,,,,,,0.242715983574193,0.242715983574193,
Rick Stockstill,Coach,,,,1983,,,,,,,0.22135857508991916,0.22135857508991916,
Dana X. Bible,Coach,,,,,,,,,,,0.15055386846431665,0.15055386846431665,
Perry Moss,Coach,,,,,,,,,,,0.20649727552712713,0.20649727552712713,
Steve Sarkinsian,Coach,,,,2000,,,,,,,0.2330618731738141,0.2330618731738141,
Barry Switzer,Coach,,,1997,1961,,,,,,,0.25948333728184547,0.25948333728184547,
Norv Turner,Coach,,,,1975,,,,,,,0.25310747848061316,0.25310747848061316,
Rob Ianello,,,,,,,,,,,,,,
Dave McClain,Coach,,,,,,,,,,,0.2572208402432287,0.2572208402432287,
Turner Gill,,,,,,,,,,,,,,
Raymond Berry,Coach,,,,,,,,,,,0.20144327065968906,0.20144327065968906,
Walter Camp,Coach,,,1895,1888,,,,,,,0.1448946644842173,0.1448946644842173,
Rick Neuheisel,,,,,,,,,,,,,,
Sonny Dykes,Coach,,,,,,,,,,,0.18900151120300424,0.18900151120300424,
Dana Holgorsen,Coach,,,,,,,,,,,0.18900151120300424,0.18900151120300424,
"Charles ""Chuck"" Mather",Coach,,,,,,,,,,,0.20649727552712713,0.20649727552712713,
George Seifert,Coach,,,2001,1964,,,,,,,0.2846728658295824,0.2846728658295824,
Jim Tressel,Coach,,,2011,1975,,,,,,,0.23770236120982466,0.23770236120982466,
Bo Pelini,Coach,,,,1991,,,,,,,0.29001520176893325,0.29001520176893325,
Derek Mason,Coach,,,,,,,,,,,0.23708540630182473,0.23708540630182473,
Marvin Lewis,Coach,,,,1981,,,,,,,0.30803225933822914,0.30803225933822914,
Mark Dantonio,Coach,,,,1980,,,,,,,0.287653991945037,0.287653991945037,
Gene Stallings,Coach,,,,,,,,,,,0.2014432706596891,0.2014432706596891,
Mike Stoops,Coach,,,,,,,,,,,0.20791882937405406,0.20791882937405406,
Chuck Amato,Coach,,,,,,,,,,,0.17536335278872617,0.17536335278872617,
Mike Faragalli,,,,,,,,,,,,,,
Bernie Bierman,Coach,,,1950,1919,,,,,,,0.15520234326204527,0.15520234326204527,
P. J. Fleck,Coach,,,,,,,,,,,0.23046177840954016,0.23046177840954016,
Tony Dungy,Coach,,,2008,1981,,,,,,,0.28583372818447444,0.28583372818447444,
Red Blaik,,,,,,,,,,,,0.2316938037087295,0.2316938037087295,
Kevin Gilbride,,,,,,,,,,,,0.22559425096738595,0.22559425096738595,
Curly Lambeau,Coach,,,,,,,,,,,0.15487668080951714,0.15487668080951714,
Larry Porter,,,,,,,,,,,,,,
Thomas Hammock,Coach,,,,,,,,,,,0.22597438492960928,0.22597438492960928,
Mike Smith,Coach,,,2018,1982,,,,,,,0.272229132117192,0.272229132117192,
Bill Tate,Coach,,,1968,1959,,,,,,,0.214236357893075,0.214236357893075,
Chris Palmer,,,,,,,,,,,,0.22824765063571098,0.22824765063571098,
John Cooper,Coach,,,,,,,,,,,0.20543315170180912,0.20543315170180912,
Bobby Williams,Coach,,,,,,,,,,,0.21716220484877274,0.21716220484877274,
Ray Handley,,,,,,,,,,,,,,
Chris Petersen,Coach,,,,1987,,,,,,,0.22609571191660807,0.22609571191660807,
Gary Kubiak,Coach,,,,,,,,,,,0.24808694622127495,0.24808694622127495,
Jack Harbaugh,Coach,,,2009,1964,,,,,,,0.28108366895680326,0.28108366895680326,
Tim Beckman,,,,,,,,,,,,,,
Todd Haley,,,,,,,,,,,,,,
Greg Schiano,Coach,,,2018,1988,,,,,,,0.26542091131643414,0.26542091131643414,
John Fox,Coach,,,2017,1978,,,,,,,0.2776366184948274,0.2776366184948274,
Mack Brown,Coach,,,,1973,,,,,,,0.256187317381348,0.256187317381348,
Chan Gailey,Coach,,,2016,1974,,,,,,,0.24176241806838886,0.24176241806838886,
Mike McCarthy,Coach,,,,1987,,,,,,,0.22759228748034782,0.22759228748034782,
Bob Wagner,,,,,,,,,,,,,,
Mark Richt,Coach,,,,,,,,,,,0.17536335278872617,0.17536335278872617,
Kurt Mallory,Coach,,,,,,,,,,,0.24603273315959925,0.24603273315959925,
Brian Jenkins,Coach,,,,,,,,,,,0.20433743978520158,0.20433743978520158,
Steve Owen,,,,,,,,,,,,0.17205055171473113,0.17205055171473113,
Will Muschamp,,,,,,,,,,,,,,
Pat Hill,Coach,,,,,,,,,,,0.24095396035694602,0.24095396035694602,
Gary Tranquill,Coach,,,,,,,,,,,0.2533641317223412,0.2533641317223412,
Dan Hawkins,Coach,,,,,,,,,,,0.2062524678196328,0.2062524678196328,
John Madden,Coach,,,1978,1960,,,,,,,0.2419155126244683,0.2419155126244683,
Joey Jones,,,,,,,,,,,,,,
Jeff Tedford,,,,,,,,,,,,,,
Anthony Lynn,Coach,Texas Tech|Broncos|49ers|Jaguars|Cowboys|Browns|Jets|Bills|Chargers,,,2000,LAR Head Coach,,,1999,1988,,0.26872877675116513,0.26872877675116513,
Russ Grimm,,,,,,,,,,,,0.2438452578377957,0.2438452578377957,
Seth Littrell,Coach,,,,,,,,,,,0.18900151120300424,0.18900151120300424,
John Mackovic,Coach,,,,1965,,,,,,,0.28159302692884797,0.28159302692884797,
Jack Patera,,,,,,,,,,,,0.17402776880388887,0.17402776880388887,
George Allen,Coach,,,1990,1948,,,,,,,0.26890152412540497,0.26890152412540497,
Jack Pardee,,,,,,,,,,,,0.22049483821871943,0.22049483821871943,
Dan Reeves,Coach,,,,,,,,,,,0.239417002290137,0.239417002290137,
Todd Graham,Coach,,,2017,1988,,,,,,,0.21788182105346368,0.21788182105346368,
John Heisman,Coach,,,,,,,,,,,0.1635020245094877,0.1635020245094877,
Fred Bruney,Coach,,,,,,,,,,,0.22897615099107704,0.22897615099107704,
Charles Brickley,Coach,,,,,,,,,,,0.15487668080951714,0.15487668080951714,
Bill Pace,Coach,,,1981,1958,,,,,,,0.21808714364684578,0.21808714364684578,
Bill Narduzzi,Coach,,,1987,1962,,,,,,,,,
Matt Nagy,Coach,,,,,,,,,,,0.23376183656034466,0.23376183656034466,
Kevin Sumlin,Coach,,,,,,,,,,,0.20791882937405406,0.20791882937405406,
Lincoln Riley,Coach,,,,,,,,,,,0.18900151120300424,0.18900151120300424,
Manny Diaz,Coach,,,,1998,,,,,,,0.21906440022111745,0.21906440022111745,
Mike Gundy,Coach,,,,,,,,,,,0.20805900152915147,0.20805900152915147,
Frank Reich,Coach,,,,2008,,,,,,,0.244095001184554,0.244095001184554,
Frank W. Thomas,Coach,,,1946,1923,,,,,,,0.21005892255892308,0.21005892255892308,
Dick Nolan,Coach,,,1992,1962,,,,,,,0.24205855642422858,0.24205855642422858,
Lovie Smith,Coach,,,,1980,,,,,,,0.26358781489378524,0.26358781489378524,
Bill Arnsparger,Coach,,,1994,1950,,,,,,,0.22897615099107704,0.22897615099107704,
Mike Tice,Coach,,,,,,,,,,,0.21519593590489183,0.21519593590489183,
Jim Zorn,,,,,,,,,,,,0.2143736584035098,0.2143736584035098,
Brian Flores,Coach,,,,,,,,,,,0.24095396035694602,0.24095396035694602,
Hue Jackson,Coach,,,,1987,,,,,,,0.27048783858485365,0.27048783858485365,
John Mazur,,,,,,,,,,,,,,
Skip Holtz,Coach,,,,,,,,,,,0.17536335278872622,0.17536335278872622,
Mike Sherman,Coach,,,,,,,,,,,0.21271528361080666,0.21271528361080666,
Sam Wyche,Coach,,,,1967,,,,,,,0.26094033799257693,0.26094033799257693,
Pat Dye,,,,,,,,,,,,,,
"Lawrence ""Biff"" Jones",Coach,,,,,,,,,,,0.15055386846431665,0.15055386846431665,
Tim Murphy,,,,,,,,,,,,0.22597438492960928,0.22597438492960928,
